"Что такое Docker, согласно глоссарию?",Программа для контейнеризации приложений.
"Простыми словами, что позволяет делать Docker?","""Упаковать"" приложение со всеми зависимостями в ""контейнер"", который будет работать одинаково на любом компьютере."
Какая аналогия используется для описания Docker?,"Контейнер для переезда: все вещи складываются в коробку и остаются на месте, куда бы вы ни переехали."
Что такое Docker Image (Образ)?,"Неизменяемый шаблон для создания контейнеров, содержащий ОС, приложение и все его зависимости."
Какая аналогия используется для описания Docker Image?,"Рецепт торта — сам по себе это не торт, но по нему можно испечь сколько угодно тортов."
Что такое Docker Container (Контейнер)?,Запущенный экземпляр образа; реально работающее приложение.
Какая аналогия используется для описания Docker Container?,"Испечённый торт — конкретный торт, сделанный по рецепту."
Что такое Dockerfile?,Текстовый файл с пошаговыми инструкциями для создания образа Docker.
Что представляет собой Docker Daemon простыми словами?,"Фоновая служба, которая управляет Docker, аналог ""повара на кухне""."
"Что делать, если возникает ошибка ""Cannot connect to Docker daemon""?",Запустить Docker Desktop (на Mac/Windows) или выполнить `sudo systemctl start docker` (на Linux).
Что такое Docker Hub?,"Онлайн-хранилище образов Docker, аналог App Store для Docker."
"В сетевых терминах, что такое Port (Порт)?","Числовой адрес для сетевого соединения, аналог ""номера квартиры"" внутри компьютера."
Какой стандартный порт используется для HTTP?,80
Какой стандартный порт используется для HTTPS?,443
Что такое Port Mapping (Проброс портов) в Docker?,"Связывание порта хоста с портом контейнера для создания ""моста"" к изолированному контейнеру."
В каком формате указывается проброс портов в Docker?,-p ПОРТ_ХОСТА:ПОРТ_КОНТЕЙНЕРА
Что такое Host (Хост) в контексте Docker?,"Ваш физический компьютер (Mac, Windows или Linux), на котором работает Docker."
Что такое Docker Network?,"Виртуальная сеть, которая позволяет изолированным контейнерам связываться друг с другом по именам."
"Что произойдет, если запустить контейнеры без общей Docker Network?","Внутренний DNS не будет работать, и контейнеры не смогут найти друг друга по именам."
Что такое DNS простыми словами?,"""Телефонная книга"" интернета, которая преобразует доменные имена в IP-адреса."
Как контейнеры в одной сети Docker обращаются друг к другу?,"По имени контейнера, так как Docker автоматически создает для них DNS-записи."
Что такое Proxy (Прокси)?,"Посредник, который принимает запросы и пересылает их дальше, как секретарь."
Что такое CORS (Cross-Origin Resource Sharing)?,"Политика безопасности браузера, которая по умолчанию запрещает JavaScript делать запросы на другой домен или порт."
Как прокси (nginx) решает проблему CORS в учебном проекте?,"Все запросы идут на один origin (порт 3000), а nginx пересылает запросы /api/* в backend, делая всё одним origin'ом для браузера."
Что делает флаг `-d` (`--detach`) в Docker?,"Запускает контейнер в фоновом режиме, освобождая терминал."
Что делает флаг `-p` (`--publish`) в Docker?,Пробрасывает (публикует) порт из контейнера на хост.
Что делает флаг `--name` в Docker?,Присваивает имя контейнеру для удобного обращения к нему.
Что делает флаг `--rm` в Docker?,Автоматически удаляет контейнер после его остановки.
